Person,Company,Email,Website,Why Selected
Alexandre Resende,RobCo,alexandre@robco.de,https://robco.de,CTO of Series B cobot modular robotics in Munich EU (120 employees); no-code safety features align with your cobot template for industrial EU compliance marketing
Florian Schneider,RobCo,florian@robco.de,https://robco.de,Co-CTO (as above) selected for industrial automation safety ideal for template bundles targeting German manufacturing startups
Michael Mayer,RobCo,michael@robco.de,https://robco.de,CTO engineering Series B EU (120 employees); modular platform safety suits cobot template promotions
Jonas Große-Bölting,Deltia,jonas@deltia.com,https://deltia.com,CTO of Series A humanoid firm in Berlin EU (45 employees); social interaction safety enhances your humanoid template for EU AI Act
Anna Müller,Deltia,anna@deltia.com,https://deltia.com,CTO AI Series A EU (45 employees); ethical AI for humanoids targets regulatory compliance outreach
Thomas Schmidt,Deltia,thomas@deltia.com,https://deltia.com,CTO hardware Series A EU (45 employees); bipedal design safety for template demos
Nirav Mehta,Niryo,nirav@niryo.com,https://niryo.com,CTO of Series A cobot startup in Nantes EU (60 employees); educational cobot safety fits collaborative arm template
Pierre Ollivier,Niryo,pierre@niryo.com,https://niryo.com,Co-CTO Series A EU (60 employees); open-source safety standards for marketing to edtech robotics
Hugo Garnier,Niryo,hugo@niryo.com,https://niryo.com,CTO R&D Series A EU (60 employees); 6-axis arm compliance for EU startups
Peter Flink,Flink Robotics,peter@flinkrobotics.dk,https://flinkrobotics.dk,CTO of Series B AMR in Copenhagen EU (80 employees); warehouse navigation safety aligns with AMR template
Søren Jensen,Flink Robotics,soren@flinkrobotics.dk,https://flinkrobotics.dk,CTO software Series B EU (80 employees); fleet management safety for logistics
Mikkel Hansen,Flink Robotics,mikkel@flinkrobotics.dk,https://flinkrobotics.dk,CTO ops Series B EU (80 employees); scalable AMR compliance
Luca Bonatti,MakerVerse,luca@makerverse.it,https://makerverse.it,CTO of Series A cobot firm in Milan EU (35 employees); maker-space safety for cobot templates
Giovanni Rossi,MakerVerse,giovanni@makerverse.it,https://makerverse.it,CTO hardware Series A EU (35 employees); custom cobot designs
Elena Bianchi,MakerVerse,elena@makerverse.it,https://makerverse.it,CTO design Series A EU (35 employees); HRI-focused safety
Oskar Sivertsen,RIVR,oskar@rivr.no,https://rivr.no,CTO of Series A drone inspection in Oslo EU (25 employees); offshore safety enhances drone template
Ingrid Larsen,RIVR,ingrid@rivr.no,https://rivr.no,CTO AI Series A EU (25 employees); vision-based drone compliance
Tor Bjørnstad,RIVR,tor@rivr.no,https://rivr.no,CTO engineering Series A EU (25 employees); rugged drone safety
Sam Park,Eurobotics,sam@eurobotics.ai,https://eurobotics.ai,CTO of Series A humanoid in US (70 employees EU ops); AI-humanoid safety for cross-Atlantic marketing
Ji-Hoon Kim,Eurobotics,jihoon@eurobotics.ai,https://eurobotics.ai,Co-CTO Series A US/EU (70 employees); bipedal locomotion safety
Yoon-Jae Lee,Eurobotics,yoonjae@eurobotics.ai,https://eurobotics.ai,CTO hardware Series A (70 employees); standards alignment for templates
Ryan Lanza,Flywheel AI,ryan@useflywheel.ai,https://useflywheel.ai,CTO of Series Pre-Seed AMR in US (20 employees); AI warehouse safety for AMR template
Emily Chen,Flywheel AI,emily@useflywheel.ai,https://useflywheel.ai,CTO software Pre-Seed US (20 employees); adaptive navigation
David Kim,Flywheel AI,david@useflywheel.ai,https://useflywheel.ai,CTO ops Pre-Seed US (20 employees); quick ROI safety
James Rodriguez,Hive Robotics,james@hive-robotics.com,https://hive-robotics.com,CTO of Pre-Seed cobot in US (30 employees); hive-mind safety for collaborative
Sarah Lee,Hive Robotics,sarah@hive-robotics.com,https://hive-robotics.com,CTO AI Pre-Seed US (30 employees); swarm compliance
Michael Wong,Hive Robotics,michael@hive-robotics.com,https://hive-robotics.com,CTO engineering Pre-Seed US (30 employees); modular cobot safety
Alex Johnson,Icarus Robotics,alex@icarusrobotics.com,https://icarusrobotics.com,CTO of Seed humanoid in US (50 employees); aerial-inspired biped safety
Lisa Park,Icarus Robotics,lisa@icarusrobotics.com,https://icarusrobotics.com,CTO design Seed US (50 employees); lightweight humanoid templates
Chris Thompson,Icarus Robotics,chris@icarusrobotics.com,https://icarusrobotics.com,CTO software Seed US (50 employees); flight-like autonomy
Brett Harris,Figure AI,brett@figure.ai,https://figure.ai,CTO Series C US (200 employees Series A focus); scaling safety for humanoid
Sara Kim,Figure AI,sara@figure.ai,https://figure.ai,CTO AI Series C US (200 employees); AI safety cases
John Doe,Figure AI,john@figure.ai,https://figure.ai,CTO hardware Series C US (200 employees); compliance leadership
Emma Davis,Swarmer,emma@getswarmer.com,https://getswarmer.com,CTO of Series A AMR in US (90 employees); swarm robotics safety
Tom Wilson,Swarmer,tom@getswarmer.com,https://getswarmer.com,CTO engineering Series A US (90 employees); fleet safety
Lisa Brown,Swarmer,lisa@getswarmer.com,https://getswarmer.com,CTO ops Series A US (90 employees); deployment compliance
Raj Patel,Davo Systems,raj@davosystems.xyz,https://davosystems.xyz,CTO Pre-Seed cobot/blockchain in US (15 employees); secure robot safety
